,Title,Releasing year,Watch Time,Rating,Genre,Votes,Synopsis,Cast,Director
0,Journey's End,I 2017,107 min,6.7,"Drama, War","9,060","Set in a dugout in Aisne in 1918, it is the story of a group of British officers, led by the mentally disintegrating young officer Stanhope, as they await their fate.","['Saul Dibb', 'Paul Bettany', 'Sam Claflin', 'Stephen Graham', 'Tom Sturridge']",Paul Bettany
1,The Crossing,2018,42 min,7.2,"Adventure, Drama, Sci-Fi","9,390",Refugees from a war-torn country 180 years in the future start showing up in the present to seek asylum in an American town.,"['Steve Zahn', 'Natalie Martinez', 'Tommy Bastow', 'Rob Campbell']",Natalie Martinez
2,Jing wu men,1972,106 min,7.3,"Action, Drama, Romance","28,912",A young man seeks vengence for the death of his teacher.,"['Wei Lo', 'Bruce Lee', 'Nora Miao', 'James Tien', 'Maria Yi']",Bruce Lee
3,Hee Haw,1969–1997,60 min,6.6,"Comedy, Music","1,493",Televised comedy/variety show with a country bent.,"['Roy Clark', 'Gunilla Hutton', 'Buck Owens', 'Grandpa Jones']",Gunilla Hutton
4,Heaven,II 2020,100 min,5.6,Drama,80,"Set between the New World (Heaven) and the Old World (Earth) the story follows the life and afterlife of Jonathan Stone and all of those lives around him from his past, present and future.","['Angus Benfield', 'Eric Roberts', 'Aaron Groben', 'Katelyn Gault', 'Juliet Rusche']",Eric Roberts
5,Hotarubi no mori e,2011,45 min,7.9,"Animation, Drama, Fantasy","16,018","Hotaru is rescued by a spirit when she gets lost in a forest as a child. The two become friends, despite the spirit revealing that he will disappear if he is ever touched by a human.","['Takahiro Ômori', 'Koki Uchiyama', 'Ayane Sakura', 'Shinpachi Tsuji', 'Izumi Sawada']",Koki Uchiyama
6,The Notorious Bettie Page,2005,91 min,6.5,"Biography, Drama","10,833","The life of Bettie Page, a 1950s pin-up model and one of the first sex icons in America, who became the target of a Senate investigation because of her risqué bondage photos.","['Bettie Page', 'Mary Harron', 'Gretchen Mol', 'Lili Taylor', 'Chris Bauer', 'Jared Harris']",Mary Harron
7,Casper: A Spirited Beginning,1997 Video,90 min,4.6,"Animation, Comedy, Family","3,877","Casper accidentally finds himself in the world of the living after failing to show up for ghost training and befriends a young boy who teaches him the ways of a ghost, while a ruler from the other world attempts to bring him back.","['Sean McNamara', 'Steve Guttenberg', 'Lori Loughlin', 'Rodney Dangerfield', 'Michael McKean']",Steve Guttenberg
8,Fabian oder Der Gang vor die Hunde,2021,176 min,7.6,Drama,471,"1930s Berlin. Dr. Jakob Fabian, who works by day in advertising for a cigarette company and by night wanders the streets of the city, falls in love with an actress. As her career begins to blossom, prospects for his future begin to wane.","['Dominik Graf', 'Tom Schilling', 'Saskia Rosendahl', 'Albrecht Schuch', 'Meret Becker']",Tom Schilling
9,Der Bergdoktor,2008– ,45 min,6.4,Drama,454,A medic lives with his small and strange family between the mountains and every episode he comes across a situation with not only his patients but also his family and friends.,"['Hans Sigl', 'Heiko Ruprecht', 'Monika Baumgartner', 'Ronja Forcher']",Heiko Ruprecht
