,Title,Releasing year,Watch Time,Rating,Genre,Votes,Synopsis,Cast,Director
0,Dune: Part One,2021,155 min,8.3,"Action, Adventure, Drama","255,715","Feature adaptation of Frank Herbert's science fiction novel, about the son of a noble family entrusted with the protection of the most valuable asset and most vital element in the galaxy.","['Denis Villeneuve', 'Timothée Chalamet', 'Rebecca Ferguson', 'Zendaya', 'Oscar Isaac']",Timothée Chalamet
1,You,2018–,45 min,7.7,"Crime, Drama, Romance","191,080","A dangerously charming, intensely obsessive young man goes to extreme measures to insert himself into the lives of those he is transfixed by.","['Penn Badgley', 'Victoria Pedretti', 'Ambyr Childers', 'Elizabeth Lail']",Victoria Pedretti
2,Squid Game,2021,60 min,8.1,"Action, Drama, Mystery","271,416","Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits with deadly high stakes. A survival game that has a whopping 45.6 billion-won prize at stake.","['Lee Jung-jae', 'Park Hae-soo', 'Greg Chun', 'Stephen Fu']",Park Hae-soo
3,Dune,1984,137 min,6.4,"Action, Adventure, Sci-Fi","147,991",A Duke's son leads desert warriors against the galactic emperor and his father's evil nemesis to free their desert world from the emperor's rule.,"['David Lynch', 'Kyle MacLachlan', 'Virginia Madsen', 'Francesca Annis', 'Leonardo Cimino']",Kyle MacLachlan
4,Eternals,2021,157 min,Not rated,"Action, Adventure, Drama",Not voted,"The saga of the Eternals, a race of immortal beings who lived on Earth and shaped its history and civilizations.",[],Unknown
5,Locke & Key,2020–,48 min,7.4,"Drama, Fantasy, Horror","58,329","After their father is murdered under mysterious circumstances, the three Locke siblings and their mother move into their ancestral home, Keyhouse, which they discover is full of magical keys that may be connected to their father's death.","['Darby Stanchfield', 'Connor Jessup', 'Emilia Jones', 'Jackson Robert Scott']",Connor Jessup
6,Succession,2018–,60 min,8.7,Drama,"73,563","The Roy family is known for controlling the biggest media and entertainment company in the world. However, their world changes when their father steps down from the company.","['Nicholas Braun', 'Brian Cox', 'Kieran Culkin', 'Peter Friedman']",Brian Cox
7,No Time to Die,2021,163 min,7.5,"Action, Adventure, Thriller","140,492","James Bond has left active service. His peace is short-lived when Felix Leiter, an old friend from the CIA, turns up asking for help, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.","['Cary Joji Fukunaga', 'Daniel Craig', 'Ana de Armas', 'Rami Malek', 'Léa Seydoux']",Daniel Craig
8,Halloween Kills,2021,105 min,5.7,"Horror, Thriller","49,359",The saga of Michael Myers and Laurie Strode continues in the next thrilling chapter of the Halloween series.,"['David Gordon Green', 'Jamie Lee Curtis', 'Judy Greer', 'Andi Matichak', 'James Jude Courtney']",Jamie Lee Curtis
9,The French Dispatch,2021,108 min,7.5,"Comedy, Drama, Romance","11,827","A love letter to journalists set in an outpost of an American newspaper in a fictional twentieth century French city that brings to life a collection of stories published in ""The French Dispatch Magazine"".","['Wes Anderson', 'Benicio Del Toro', 'Adrien Brody', 'Tilda Swinton', 'Léa Seydoux']",Benicio Del Toro
10,Maid,2021,545 min,8.5,Drama,"35,758","After fleeing an abusive relationship, a young mother finds a job cleaning houses as she fights to provide for her child and build them a better future.","['Margaret Qualley', 'Nick Robinson', 'Rylea Nevaeh Whittet', 'Andie MacDowell']",Nick Robinson
